Τ18	Τεχνολογικά Ατυχήματα	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση της Γ.Γ.Π.Π. σχετικά με τις ενέργειες και δράσεις για την πληροφόρησης κοινού σε περιφερειακό επίπεδο	Πρόληψη, Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών & Περιφερειακό Συμβούλιο	Γενική Γραμματεία Πολιτικής Προστασίας
Τ19	Τεχνολογικά Ατυχήματα	Ενημέρωση και πληροφόρηση του κοινού	Διάθεση στο κοινό καταλόγου με τις επικίνδυνες ουσίες που βρίσκονται εντός των εγκαταστάσεων άνω ορίου, σε επίπεδο Περιφέρειας	Πρόληψη, Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών & Περιφερειακό Συμβούλιο	-
Τ20	Τεχνολογικά Ατυχήματα	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση του κοινού για το υπό-κατάρτιση ΣΑΤΑΜΕ (Σχέδιο Αντιμετώπισης Τεχνολογικών Ατυχημάτων Μεγάλης Έκτασης) σε επίπεδο Περιφέρειας	Πρόληψη, Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	-
Τ21	Τεχνολογικά Ατυχήματα	Ενημέρωση και πληροφόρηση του κοινού	Γενική ενημέρωση του κοινού για τα τεχνολογικά ατυχήματα και τα μέτρα αυτοπροστασίας	Πρόληψη, Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας, Πυροσβεστικό Σώμα	-	Δ/νσεις Πολιτικής Προστασίας των Αποκεντρωμένων Διοικήσεων και Περιφερειών - Δήμοι
Τ22	Τεχνολογικά Ατυχήματα	Διενέργεια ασκήσεων ετοιμότητας	Εφαρμογή και εκπαίδευση στο εξωτερικό ΣΑΤΑΜΕ	Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	Γενική Γραμματεία Πολιτικής Προστασίας, Δήμοι
Τ23	Τεχνολογικά Ατυχήματα	Διενέργεια ασκήσεων ετοιμότητας	Εφαρμογή και εκπαίδευση στα εσωτερικά σχέδια έκτακτης ανάγκης.	Ετοιμότητα	Πυροσβεστικό Σώμα, Εγκαταστάσεις	-	-
Τ24	Τεχνολογικά Ατυχήματα	Λήψη μέτρων προστασίας τρωτού και ευάλωτου πληθυσμού	Τήρηση στοιχείων σχετικά με ευαίσθητες ομάδες πληθυσμού	Ετοιμότητα	Περιφέρειες, Δήμοι	-	-
Τ25	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Αρχική ειδοποίηση της Πυροσβεστικής Υπηρεσίας για την πρόκληση τεχνολογικού ατυχήματος	Αντιμετώπιση	Εγκαταστάσεις	-	-
Τ26	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Ενημέρωση μεταξύ των φορέων και πραγματοποίηση πρώτης εκτίμησης για την υφιστάμενη κατάσταση	Αντιμετώπιση	-	-	-
Τ27	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Άμεση κινητοποίηση μονάδων και μετάβαση στο σημείο του συμβάντος	Αντιμετώπιση	Πυροσβεστικό Σώμα, ΕΛ.ΑΣ, ΕΚΑΒ, Περιφέρειες	-	-
Τ28	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Αρχική εκτίμηση της κατάστασης από τους επικεφαλής των μονάδων επέμβασης που σπευδούν στο σημείο του ατυχήματος και τον υπέυθυνο της εγκατάστασης	Αντιμετώπιση	Πυροσβεστικό Σώμα, ΕΛ.ΑΣ, ΕΚΑΒ, Περιφέρειες, Εγκαταστάσεις	-	-
Τ29	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Έλεγχος και καταστολή του καταστροφικού φαινομένου. Αντιμετώπιση του συμβάντος μέσω της εφαρμογής του σχεδίου για την επέμβαση σε κτιριακές εγκαταστάσεις και τεχνικά έργα	Αντιμετώπιση	Πυροσβεστικό Σώμα	-	-
Τ30	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Λήψη μέτρων τάξης, ασφάλειας και διακοπής της κυκλοφορίας για τη διευκόλυνση της πρόσβασης πυροσβεστικών οχημάτων και ασθενοφόρων	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
Τ31	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Σήμανση και φύλαξη των ζωνών αποκλεισμού και προστασίας των πολιτών και του προσωπικού επέμβασης	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
Τ32	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Αρχική εκτίμηση της κατάστασης σχετικά με τις ανάγκες παροχής ιατρικής περίθαλψης, διακομοιδή τραυματιών και ασθενών	Αντιμετώπιση	ΕΚΑΒ/ΕΚΕΠΥ	-	-
Τ33	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Κλιμάκωσης των επιχειρήσεων σε περίπτωση ανάγκης με ταυτόχρονη ανάληψη της αρμοδιότητας συντονισμού των δυνάμεων και των μέσων από τον Περιφερειάρχη	Αντιμετώπιση	Περιφέρειες	-	-
Τ34	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Συντονισμός των δυνάμεων και των μέσων σε περίπτωση καταστροφής μεγαλύτερης κλίμακας, από τον Συντονιστή της Αποκεντρωμένης Διοίκησης ή από τον Γενικό Γραμματέα Πολιτικής Προστασίας	Αντιμετώπιση	Αποκεντρωμένες Διοικήσεις, Γενική Γραμματεία Πολιτικής Προστασίας	-	-
Τ35	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Παροχή διαρκούς πληροφόρησης για την πρόγνωση σχετικά με την ταχύτητα και τη διεύθυνση του ανέμου καθώς και για την ατμοσφαιρική κατάσταση. Οι προγνώσεις παρέχονται από την ΕΜΥ	Αντιμετώπιση	Γενική Γραμματεία Πολιτικής Προστασίας	Κέντρο επιχειρήσεων	-
Τ36	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Σύγκληση του Συντονιστικού Οργάνου Πολιτικής Προστασίας για τον συντονισμό των δράσεων των φορέων και την καλύτερη διάθεση των μέσων και των πόρων	Αντιμετώπιση	Περιφέρειες	-	Όλοι οι φορείς
Τ37	Τεχνολογικά Ατυχήματα	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση κοινού στην περίπτωση τεχνολογικού ατυχήματος, ανάλογα με την κλίμακα και το μέγεθος του ατυχήματος	Αντιμετώπιση	Γενική Γραμματεία Πολιτικής Προστασίας, Περιφέρειες	Περιφερειάρχης, Αντιπεριφερειάρχης (ανάλογα με την έκταση του ατυχήματος)	-
Τ38	Τεχνολογικά Ατυχήματα	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση του κοινού σχετικά με τη λήψη μέτρων προστασίας της υγείας στις περιπτώσεις που προκύπτουν ζητήματα δημόσιας υγείας λόγω ΤΑΜΕ (Τεχνολογικών Ατυχημάτων Μεγάλης Έκτασης)	Αντιμετώπιση	Υπουργείο Υγείας	Εθνικό Κέντρο Επιχειρήσεων Υγείας (ΕΚΕΠΥ)	-
Τ39	Τεχνολογικά Ατυχήματα	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση και πληροφόρηση του κοινού σχετικά με την ύπαρξη τραυματιών και ανθρώπινων απωλειών λόγω ΤΑΜΕ (Τεχνολογικών Ατυχημάτων Μεγάλης Έκτασης)	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
Τ40	Τεχνολογικά Ατυχήματα	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Δράσεις απομάκρυνσης των αποβλήτων	Αντιμετώπιση	-	-	-
Τ41	Τεχνολογικά Ατυχήματα	Δράσεις αποκατάστασης στην περιοχή του συμβάντος	Εξυγίανση του χώρου, απομάκρυνση επικίνδυνων αποβλήτων	Αποκατάσταση	Αποκεντρωμένες Διοικήσεις	ΔΙΠΕΧΩ	-
Τ42	Τεχνολογικά Ατυχήματα	Δράσεις αποκατάστασης στην περιοχή του συμβάντος	Πραγματοποίηση περιβαλλοντικών ελέγχων, μετρήσεις και λήψη αναγκαίων μέτρων στην εγκατάσταση	Αποκατάσταση	Περιφέρειες	-	-
Τ43	Τεχνολογικά Ατυχήματα	Δράσεις αποκατάστασης στην περιοχή του συμβάντος	Κοινοποίηση των αποτελεσμάτων των ελέγχων στο ΕΚΕΠΥ και το Υπουργείο Υγείας	Αποκατάσταση	Περιφέρειες	-	-
Τ44	Τεχνολογικά Ατυχήματα	Δράσεις αποκατάστασης στην περιοχή του συμβάντος	Καταγραφή των ζημιών	Αποκατάσταση	Περιφέρειες	-	-
Τ45	Τεχνολογικά Ατυχήματα	Δράσεις αποκατάστασης στην περιοχή του συμβάντος	Διενέργεια ερευνών για τις αιτές του ατυχήματος, εποπτεία των μέτρων αποκατάστασης που λαμβάνουν οι εγκατασάσεις και διατύπωση προτάσεων για τη λήψη επιπρόσθετων μέτρων	Αποκατάσταση	Περιφέρειες	Δ/νση Ανάπτυξης των Περιφερειών	-
Τ46	Τεχνολογικά Ατυχήματα	Ενέργειες αποτίμησης και απολογισμού	Συγκέντρωση στοιχείων και δεδομένων σχετικά με το τεχνολογικό ατύχημα	Αποκατάσταση	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	-
Τ47	Τεχνολογικά Ατυχήματα	Ενέργειες αποτίμησης και απολογισμού	Κατάρτιση φακέλου καταστροφής	Αποκατάσταση	Γενική Γραμματεία Πολιτικής Προστασίας	-	-
F1	Δασικές Πυρκαγιές	Eνέργειες σχεδιασμού	Έκδοση οδηγιών και τεχνικών προδιαγραφών έργων και εργασιών αντιπυρικής προστασίας δασών και δασικών εκτάσεων και εκπόνηση προγραμμάτων προστασίας τους από τον κίνδυνο των πυρκαγιών	Πρόληψη	Υπουργείο Περιβάλλοντος και Ενέργειας	Γενική Διεύθυνση Ανάπτυξης και Προστασίας Δασών και Αγροπεριβάλλοντος	-
F2	Δασικές Πυρκαγιές	Eνέργειες σχεδιασμού	Πραγματοποίηση ενεργειών για τη χρηματοδότηση προγραμμάτων έργων και εργασιών που κρίνονται άμεσης προτεραιότητας για την αντιπυρική προστασία των δασών και δασικών εκτάσεων	Πρόληψη	Υπουργείο Περιβάλλοντος και Ενέργειας	Γενική Διεύθυνση Ανάπτυξης και Προστασίας Δασών και Αγροπεριβάλλοντος	-
F3	Δασικές Πυρκαγιές	Eνέργειες σχεδιασμού	Σχεδιασμός και σύνταξη προγραμμάτων έργων και εργασιών σε δάση και δασικές εκτάσεις	Πρόληψη	Αποκεντρωμένες Διοικήσεις	Δ/νσεις Συντονισμού και Επιθεώρησης Δασών	-
F4	Δασικές Πυρκαγιές	Eνέργειες σχεδιασμού	Επόνηση ολοκληρωμένης πρότασης εκτέλεσης έργων προστασίας σε δάση και δασικές εκτάσεις πριν την έναρξη της αντιπυρρικής περιόδου	Πρόληψη	Αποκεντρωμένες Διοικήσεις	Δ/νσεις Συντονισμού και Επιθεώρησης Δασών	-
F5	Δασικές Πυρκαγιές	Eνέργειες σχεδιασμού	Συντήρηση και βελτίωση του δασικού οδικού δικτύου	Πρόληψη	Αποκεντρωμένες Διοικήσεις	Δασικές Υπηρεσίας	-
F6	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Έλεγχος καλής λειτουργίας των πυροσβεστικών υδροστομίων	Πρόληψη	Πυροσβεστικό Σώμα	-	-
F7	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Απομάκρυνση μέρους της βλάστησης (εργασίες καθαρισμού), γύρω από περιοχές ιδιαίτερης προστασίας (κτιριακές υποδομές και εγκαταστάσεις, κατασκηνώσεις, αρχαιολογικοί χώροι, άλση, πάρκα, κλπ.) και περιοχές που θεωρούνται λόγω της φύσεως τους κρίσιμες, κατά μήκος του οδικού δικτύου καθώς και στις ζώνες μίξης δασών πόλεων και οικισμών.	Πρόληψη	Δήμοι	-	Δασικές Υπηρεσίες
F8	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Εκτέλεση προγραμμάτων καθαρισμού της βλάστησης εντός και γύρω από στρατιωτικές εγκαταστάσεις	Πρόληψη	Υπουργείο Εθνικής Άμυνας,	-	-
F9	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Εκτέλεση εργασιών καθαρισμού της βλάστησης εντός αρχαιολογικών χώρων	Πρόληψη	Υπουργείο Πολιτισμού	-	-
F10	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Εκτέλεση εργασιών καθαρισμού της βλάστησης για την προστασία των αεροδρομίων ή και ελικοδρομίων που συνορεύουν με δασικές εκτάσεις	Πρόληψη	Υπηρεσία Πολιτικής Αεροπορίας	-	-
F11	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Εκτέλεση προγραμμάτων που αφορούν προληπτικό κλάδεμα δένδρων σε περιοχές που διέρχονται γραμμές διανομής και μεταφοράς ηλεκτρικής ενέργειας	Πρόληψη	ΔΕΔΔΗΕ, ΑΔΜΗΕ	-	-
F12	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Eκτέλεση προγραμμάτων προληπτικών παράπλευρων καθαρισμών της βλάστησης σε επικίνδυνες περιοχές από τις οποίες διέρχονται σιδηροδρομικές γραμμές	Πρόληψη	ΟΣΕ	-	Δασικές Υπηρεσίες
F13	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Προληπτικοί καθαρισμοί βλάστησης κατά μήκος του οδικού δικτύου αρμοδιότητάς διαφόρων φορέων (προληπτικός καθαρισμός της βλάστησης σε φυτεμένες νησίδες, πρανή δρόμων ή χώρους στάθμευσης κατά μήκος του οδικού δικτύου)	Πρόληψη	Δήμοι, Περιφέρειες- Περιφερειακές Ενότητες, ΕΓΝΑΤΙΑ ΟΔΟΣ Α.Ε κλπ.	Τεχνικές Υπηρεσίες, Δ/νσεις Τεχνικών Έργων των Περιφερειών/Περιφερειακών Ενοτήτων	-
F14	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Λήψη μέτρων για την αποφυγή πρόκλησης πυρκαγιάς από τη λειτουργία χώρων ανεξέλεγκτης εναπόθεσης αστικών απορριμμάτων	Πρόληψη	Δήμοι	-	-
F15	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Συγκρότηση επιτροπών ελέγχου χώρων ανεξέλεγκτης εναπόθεσης απορριμμάτων	Πρόληψη	Αποκεντρωμένες Διοικήσεις	Δ/νση Πολιτικής Προστασίας των Α/Δ	Πυροσβεστικό Σώμα
F16	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Κοινοποίηση στους Δήμους, των αποτελεσμάτων των ελέγχων που διενεργουν οι επιτροπές ελέγχου χώρων ανεξέλεγτκης εναπόθεσης απορριμμάτων	Πρόληψη	Αποκεντρωμένες Διοικήσεις	Δ/νση Πολιτικής Προστασίας των Α/Δ	Δήμοι
F17	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Μέτρα για την αποφυγή εκδήλωσης πυρκαγιάς από την εκτέλεση γεωργικών και άλλων εργασιών περιορισμένης έκτασης στην ύπαιθρο. Έκδοση άδειας για την καύση αγροτικών εκτάσεων, κατά την αντιπυρική περίοδο	Πρόληψη	Πυροσβεστικό Σώμα	-	-
F18	Δασικές Πυρκαγιές	Ενέργειες σχεδιασμού	Σύνταξη μνημονίων ενεργειών για την περίπτωση των πυρκαγιών	Ετοιμότητα	Αποκεντρωμένες Διοικήσεις, Δήμοι, Περιφέρειες-Περιφερειακές Ενότητες	Υπηρεσίες Πολιτικής Προστασίας	-
F19	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Παρουσία υδροφόρου οχήματος στους χώρους ανεξέλεγκτης εναπόθεσης αστικών απορριμμάτων σε καταστάσεις αυξημένης ετοιμότητας (Όταν ο δείκτης ετοιμότητας έχει οριστεί στα επίπεδα 4 & 5)	Ετοιμότητα	Δήμοι	-	-
F20	Δασικές Πυρκαγιές	Λήψη μέτρων προστασίας τρωτών εγκαταστάσεων	Λήψη προληπτικών μέτρων προστασίας παιδικών κατασκηνώσεων όπως α) δρόμοι προσπέλασης οχημάτων, β) αποψίλωση χώρων, γ) δημιουργία αντιπυρικής ζώνη ασφαλείας στην περίμετρο του οικοπέδου της κατασκήνωσης, δ) καθορισμός ειδικού χώρου συγκέντρωσης κατασκηνωτών σε περίπτωση ανάγκης και ε) ύπαρξη μεγαφωνικού συστήματος	Πρόληψη	Κατασκηνώσεις		Περιφέρειες (Άδειες λειτουργίας),Δήμοι (Εποπτεία)
F21	Δασικές Πυρκαγιές	Λήψη μέτρων προστασίας τρωτού και ευάλωτου πληθυσμού	Σύνταξη σχεδίου πυροπροστασίας και εκκένωσης παιδικών κατασκηνώσεων σε περίπτωση έκτακτης ανάγκης	Πρόληψη	Κατασκηνώσεις	-	Πυροσβεστική Υπηρεσία, Δήμοι, Περιφέρειες
F22	Δασικές Πυρκαγιές	Λήψη μέτρων προστασίας τρωτού και ευάλωτου πληθυσμού	Συγκέντρωση των σχεδίων εκκένωσης παιδικών κατασκηνώσεων	Πρόληψη	Δήμοι, Περιφέρειες-Περιφερειακές Ενότητες	Γραφεία Πολιτικής Προστασίας των Δήμων, Δ/νση Πολιτικής Προστασίας των Περιφερειών,	-
F23	Δασικές Πυρκαγιές	Ενέργειες έγκαιρης προειδοποίσης	Έκδοση ημερήσιου χάρτη πρόβλεψης κινδύνου πυρκαγιάς κατά τη διάρκεια της αντιπυρικής περιόδου	Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας	Δ/νση Σχεδιασμού και Αντιμετώπισης Εκτάκτων Αναγκών	ΕΜΥ
F24	Δασικές Πυρκαγιές	Ενέργειες έγκαιρης προειδοποίσης	Προώθηση του ημερήσιου χάρτη κινδύνου πυρκαγιάς καθώς και επιπρόσθετου προειδοποιητικού σήματος για τις περιοχές που προβλέπεται κίνδυνος κατηγορίας 4 και 5	Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας	Κέντρο Επιχειρήσεων Πολιτικής Προστασίας	-
F25	Δασικές Πυρκαγιές	Ενέργειες έγκαιρης προειδοποίσης	Προώθηση του ημερήσιου χάρτη πρόβλεψης κινδύνου πυρκαγιάς στους Δήμους	Ετοιμότητα	Αποκεντρωμένες Διοικήσεις	Δ/νση Πολιτικής Προστασίας των Α/Δ	Δ/νση Πολιτικής Προστασίας των Περιφερειών
F26	Δασικές Πυρκαγιές	Ενέργειες έγκαιρης προειδοποίσης	Ενημέρωση του κοινού σχετικά με τις προβλέψεις κινδύνου πυρκαγιάς σε ημερήσια βάση	Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας	-	-
F27	Δασικές Πυρκαγιές	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση κοινού για τη λήψη μέτρων αυτοπροστασίας από τον κίνδυνο των δασικών πυρκαγιών - Ενημέρωση του κοινού σε κεντρικό επίπεδο	Πρόληψη, Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας, Π.Σ, YΠΕΚΑ	Γενική Διεύθυνση Ανάπτυξης και Προστασίας Δασών και Αγροπεριβάλλοντος	-
